Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9572553430821147,0.8636363636363636,0.7869822485207101,0.8235294117647058,0.9834315080500304
Random Forest,0.9964379452568429,0.9969742813918305,0.9748520710059172,0.9857890800299177,0.99707571881169
XGBoost,0.9979377577802775,0.9970104633781763,0.9866863905325444,0.9918215613382899,0.9995337918348784
Support Vector Machine,0.9820022497187851,0.9559748427672956,0.8994082840236687,0.926829268292683,0.9952064400242886
